氢氧化镁前驱物法制备球形氧化镁,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
石墨烯基复合膜与电化学耦合技术及其水处理性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于普鲁士蓝的超级电容器,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于微流体技术的结构微乳液制备,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于电化学阻抗谱法的固体氧化物燃料电池性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
分子筛膜微观形貌调控,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
三维功能核酸在侧向层析检测中的应用,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
糖类转化形成固体副产物机制研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
复合纤维结构调控及其应用性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于姓氏迁移的宗祠建筑研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于虚拟现实技术的城市空间认知研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,2
基于轨道交通发展的居民日常生活圈研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,2
《陶瓷釉彩绘画的新抽象表现创新研究与实践》,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
叙事空间视角下的博物馆室内设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
当代审美体系下陶瓷与玻璃工艺研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
地铁出行模式下的城市时空可达性研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
南航旅游文创衍生品开发研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
东北邮驿文化旅游文化产品开发,创业训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
基于深度学习的裁判文书分析,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
多模态的3D物体识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于复合信息的跨域推荐,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
产前医疗数据智能辅助系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于深度学习的双目深度估计和立体匹配研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
具有反向穿透功能的公共网络存储系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于大数据分析的服装搭配系统的设计与实现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于红外双目相机场景深度感知,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
水下场景深度感知及颜色恢复,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
